,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
829373,,2000,2451609.5,66,,9.0,Miscellaneous,,,,0.1,A,30.7047,-89.3525
1809170,1501706,2015,2457337.5,315,1418,11.0,Powerline,2457337.5,315.0,1431,0.01,A,38.6,-95.28
431856,,2004,2453077.5,73,,5.0,Debris Burning,,,,0.12,A,34.94978909,-84.35280409
710286,,1996,2450228.5,146,1830,7.0,Arson,2450228.5,146.0,2012,1.0,B,31.50096327,-89.10201294
880502,,1999,2451310.5,132,,5.0,Debris Burning,,,,1.0,B,31.2072,-84.1956
1058606,NICE PINE,2004,2453091.5,87,,3.0,Smoking,,,,0.1,A,35.25,-81.05
532620,,2008,2454683.5,218,,13.0,Missing/Undefined,,,,0.1,A,35.13398,-82.70145
675489,,2004,2453128.5,124,,7.0,Arson,,,,0.2,A,45.97181249,-91.35116212
709012,,1996,2450125.5,43,0844,7.0,Arson,2450125.5,43.0,1055,35.0,C,30.83872356,-89.09707676
274347,C.T.CIRCLE,2003,2452753.5,114,2130,8.0,Children,2452753.5,114.0,2145,0.1,A,45.97,-89.8877
1063127,VALENCIA,2009,2455051.5,220,1030,1.0,Lightning,2455054.5,223.0,1400,0.25,A,36.66138889,-107.20972222
1055336,HORN ROAD GRASS FIRE,2004,2453085.5,81,,5.0,Debris Burning,,,,0.2,A,34.1333,-77.9
285882,WATER TOWER1,2006,2453914.5,179,2237,10.0,Fireworks,2453914.5,179.0,2246,0.1,A,45.6075,-107.4705
826962,,2000,2451581.5,38,,9.0,Miscellaneous,,,,0.1,A,31.5786,-89.6314
1521906,,2011,2455569.5,8,1237,5.0,Debris Burning,2455569.5,8.0,1326,5.0,B,36.5722,-93.289
620753,,2005,2453554.5,184,,9.0,Miscellaneous,,,,5.0,B,33.48137001,-97.04424
997242,,1992,2448691.5,70,,5.0,Debris Burning,,,,3.0,B,35.2483,-77.2883
541392,,2000,2451618.5,75,,8.0,Children,,,,0.25,A,39.925,-74.15833
803507,,2000,2451634.5,91,,7.0,Arson,,,,15.0,C,37.3086,-83.6836
999062,,1992,2448723.5,102,,3.0,Smoking,,,,10.0,C,35.5317,-77.625
761381,,1992,2448801.5,180,,1.0,Lightning,,,,6.5,B,47.69538,-117.59599
805676,,2001,2451979.5,70,,5.0,Debris Burning,,,,2.0,B,37.7931,-83.1522
1542750,COTTRELL,2010,2455333.5,137,,5.0,Debris Burning,,,,5.0,B,31.421046,-99.07093
516016,,2006,2453831.5,96,,3.0,Smoking,,,,4.0,B,35.88744998,-82.61189
1112289,3-17/ SHF WHITE          ,2007,2454291.5,191,,1.0,Lightning,,,,3.0,B,41.2,-121.31
560989,BALDY,2004,2453171.5,167,,1.0,Lightning,,,,0.25,A,36.67889,-105.17779998
170252,BOHN FIRE,2004,2453291.5,287,1745,5.0,Debris Burning,2453292.5,288.0,1500,0.25,A,46.30138889,-112.96305556
218870,EAGLE,1992,2448755.5,134,1400,1.0,Lightning,2448755.5,134.0,1900,1.0,B,41.3166,-120.1177
1740908,MOUNTAIN HOME RANCH FIRE/ CONE CREEK RANCH,2014,2456702.5,45,,11.0,Powerline,,,,10.0,C,32.973856,-98.57646
956870,,1998,2450993.5,180,,1.0,Lightning,,,,0.1,A,29.89,-81.84
230958,RIBLADOS,1994,2449560.5,208,1500,1.0,Lightning,2449561.5,209.0,1000,10.0,C,32.4501,-106.9339
1297544,,2008,2454620.5,155,1451,9.0,Miscellaneous,2454620.5,155.0,1451,0.1,A,40.76925199,-73.25335803
174133,,1994,2449422.5,70,2240,7.0,Arson,2449422.5,70.0,2247,0.5,B,34.5168,-94.9002
1017260,,1995,2449812.5,95,,7.0,Arson,,,,0.2,A,36.2183,-81.1717
1381455,,1992,2448694.5,73,1630,7.0,Arson,2448694.5,73.0,1820,4.9,B,32.5617,-84.9079
764485,,1994,2449597.5,245,,9.0,Miscellaneous,,,,0.5,B,47.01633,-122.92746
485301,,2008,2454615.5,150,,9.0,Miscellaneous,,,,1.0,B,44.74152,-84.08893
1775795,,2014,2456740.5,83,1745,9.0,Miscellaneous,2456742.5,85.0,,0.5,B,39.3304,-75.1899
1875184,,2012,2456203.5,277,1922,11.0,Powerline,,,,5.0,B,35.50401667,-119.04933333
246052,207 AVE #3,1994,2449472.5,120,1400,5.0,Debris Burning,2449472.5,120.0,1500,2.0,B,25.649889,-80.529223
1492736,FY2012-SCREVEN-020,2011,2455892.5,331,0020,7.0,Arson,2455892.5,331.0,0139,0.4,B,32.65847038,-81.63670563
1671968,,2013,2456403.5,111,,5.0,Debris Burning,2456403.5,111.0,,2.0,B,43.965865,-72.202457
1220833,MS0    1010-4660221001,2010,2455248.5,52,1447,13.0,Missing/Undefined,,,,7.0,B,30.857928,-89.178556
1149213,CHASTANG,2007,2454154.5,54,1314,7.0,Arson,2454154.5,54.0,1756,100.0,D,31.013741,-88.024673
434131,,2004,2453151.5,147,,2.0,Equipment Use,,,,2.0,B,31.15395153,-82.13483619
1536968,DITCH,2009,2455018.5,187,,5.0,Debris Burning,,,,1.0,B,35.92445761,-101.42025082
203182,,1992,2448824.5,203,1958,9.0,Miscellaneous,2448824.5,203.0,2012,0.1,A,33.1001,-111.7174
108712,DRY,1998,2451065.5,252,1700,9.0,Miscellaneous,2451065.5,252.0,1800,0.2,A,37.20833333,-83.61333333
591583,,2004,2453367.5,363,,13.0,Missing/Undefined,,,,0.1,A,43.70060001,-103.60610002
729314,,1996,2450240.5,158,,13.0,Missing/Undefined,2450240.5,158.0,,40.0,C,33.04583333,-80.3625
10462,BANNING LANE,2006,2453874.5,139,1600,7.0,Arson,2453875.5,140.0,1600,5.0,B,35.34527778,-82.63527778
334447,LOOPY,2000,2451756.5,213,1656,1.0,Lightning,2451756.5,213.0,1720,0.1,A,37.875,-114.5458
490438,,2005,2453488.5,118,,7.0,Arson,,,,0.1,A,46.15223141,-92.81670476
1018277,DOGWOOD FIRE,1996,2450156.5,74,,5.0,Debris Burning,,,,0.5,B,35.9383,-76.8017
1539078,2009-228,2009,2455082.5,251,,5.0,Debris Burning,,,,1.0,B,32.66041387,-96.01449088
932063,,2001,2451979.5,70,,7.0,Arson,,,,8.0,B,36.16,-84.8767
665887,,2009,2454883.5,52,,2.0,Equipment Use,,,,0.1,A,37.21972,-78.13333
192606,GLAC HOMES,1992,2448774.5,153,1900,8.0,Children,2448774.5,153.0,2000,1.0,B,48.4833,-113.0342
1677638,FOUR QUART FIRE,2013,2456385.5,93,1757,5.0,Debris Burning,2456385.5,93.0,1959,1.0,B,35.34786667,-78.89385
63796,NEEDLES,1994,2449534.5,182,1550,1.0,Lightning,2449534.5,182.0,2000,0.5,B,43.83166667,-103.54666667
527314,,2007,2454200.5,100,,13.0,Missing/Undefined,,,,3.0,B,34.68346,-79.26503
1134224,STATE                    ,2005,2453570.5,200,,2.0,Equipment Use,,,,5.0,B,34.01194444,-117.41
378273,,2006,2453881.5,146,,8.0,Children,,,,0.1,A,64.8,-147.5667
1307633,,2006,2453825.5,90,1248,9.0,Miscellaneous,2453825.5,90.0,1248,1.0,B,42.76835163,-78.8113962
1607713,OUTER 2,2012,2456133.5,207,1137,13.0,Missing/Undefined,,,,5.0,B,34.02614,-117.119282
583653,,2008,2454710.5,245,,5.0,Debris Burning,,,,2.0,B,33.86541,-81.21765
1675609,HWY 82 FIRE,2013,2456367.5,75,1514,5.0,Debris Burning,2456367.5,75.0,1559,0.5,B,35.29786667,-78.66805
1739863,,2014,2456747.5,90,1342,11.0,Powerline,2456747.5,90.0,1507,3.0,B,33.860634,-81.588768
1212950,RED LAKE 125,2010,2455286.5,90,1800,8.0,Children,2455286.5,90.0,1815,0.1,A,47.86917,-95.01778
1495642,FARMER CEMETERY FIRE,2011,2455641.5,80,1705,5.0,Debris Burning,2455641.5,80.0,2045,5.0,B,37.40675,-83.94101
500013,,1996,2450182.5,100,,7.0,Arson,,,,3.0,B,45.68924,-94.172112
1365153,,2010,2455260.5,64,,5.0,Debris Burning,,,,9.0,B,32.553601,-86.634377
1604727,CARTER,2012,2456084.5,158,1319,5.0,Debris Burning,,,,0.5,B,38.364185,-120.692846
1205592,,2010,2455411.5,215,,7.0,Arson,,,,0.2,A,34.21732398,-85.44717819
1537446,NOBLE BRUSH PILE FIRE,2009,2455028.5,197,,5.0,Debris Burning,,,,1.0,B,32.86582768,-95.25360804
374232,,2003,2452730.5,91,,4.0,Campfire,,,,2.0,B,42.08,-91.74
630598,,2006,2453814.5,79,,2.0,Equipment Use,,,,40.0,C,34.05763001,-98.84916998
414800,,2006,2453818.5,83,,9.0,Miscellaneous,,,,0.1,A,28.12749999,-81.07304997
1858674,SCALESVILLE CORNER,2015,2457115.5,93,1320,5.0,Debris Burning,2457115.5,93.0,1340,0.1,A,36.2106,-79.89895
562054,,2006,2453875.5,140,,1.0,Lightning,,,,19.5,C,33.7893,-103.1468
1169678,,1998,2450869.5,56,1448,5.0,Debris Burning,2450869.5,56.0,1608,140.0,D,31.99538232,-89.44684918
1514571,ROBIN FIRE,2011,2455606.5,45,1335,13.0,Missing/Undefined,2455606.5,45.0,1358,0.1,A,36.03486667,-80.6078
1579044,HAUL ROAD,2012,2456133.5,207,1100,7.0,Arson,2456134.5,208.0,0200,400.0,E,34.5425,-94.7347
1743429,LEFT FORK OF BIG ELK CREEK,2014,2456985.5,328,1246,2.0,Equipment Use,2456985.5,328.0,1500,0.5,B,39.44995603,-80.49770373
707513,,1995,2449991.5,274,1443,7.0,Arson,2449991.5,274.0,1600,4.0,B,31.32278996,-89.8051609
759220,HOWARD BUTTE #2,1995,2449977.5,260,,1.0,Lightning,2449977.5,260.0,,2.0,B,44.31754,-120.39885
1017498,,1995,2449817.5,100,,9.0,Miscellaneous,,,,2.0,B,35.455,-83.4583
1843690,NA,2015,2457158.5,136,2114,9.0,Miscellaneous,2457158.5,136.0,2227,0.1,A,42.8581,-78.7164
901602,,1998,2450907.5,94,,9.0,Miscellaneous,,,,4.0,B,35.6311,-94.5678
789105,,1992,2448717.5,96,1551,5.0,Debris Burning,,,,2.0,B,36.93125765,-92.01029734
1288678,,2009,2455145.5,314,1815,9.0,Miscellaneous,2455145.5,314.0,1815,0.1,A,40.62080741,-74.01754488
4069,DAM,2005,2453545.5,175,1430,1.0,Lightning,2453549.5,179.0,1925,0.1,A,34.36416667,-110.10694444
1423246,,2010,2455327.5,131,1450,2.0,Equipment Use,,,,11.9,C,32.287306,-92.266722
1685323,,2013,2456399.5,107,2224,7.0,Arson,2456400.5,108.0,,16.0,C,34.3365,-95.21083
1584691,NAYLOR 3-10-12,2012,2455996.5,70,1447,7.0,Arson,2455996.5,70.0,1828,3.1,B,35.45425,-85.783617
1875554,PG&E 2,2009,2455024.5,193,0901,9.0,Miscellaneous,2455024.5,193.0,0920,0.1,A,40.287706,-122.429875
37521,MDF DH FLUKEY,2009,2455049.5,218,1746,1.0,Lightning,2455049.5,218.0,1819,0.1,A,41.65277778,-121.27722222
1478469,08-BABCOCK RANCH FIRE-0314,2011,2455679.5,118,1655,1.0,Lightning,2455684.5,123.0,1439,230.0,D,26.8583,-81.588
1664923,,2013,2456418.5,126,1204,2.0,Equipment Use,2456418.5,126.0,1220,0.25,A,46.4912543,-93.74071469
1548092,111 SUNNYVALE,2010,2455561.5,365,,9.0,Miscellaneous,,,,1.0,B,30.7243973,-97.6391753
33889,SOUTH SPRUCE,2008,2454766.5,301,1626,9.0,Miscellaneous,2454768.5,303.0,1048,22.0,C,34.44277778,-112.42222222
1802128,150175017,2015,2457228.5,206,1802,13.0,Missing/Undefined,2457228.5,206.0,1810,0.1,A,44.062767,-123.12976
181153,TWO CHARGE,1992,2448854.5,233,1641,1.0,Lightning,2448854.5,233.0,2000,1.5,B,43.2139,-100.9365
307268,N HOBBLE,2004,2453276.5,272,1903,1.0,Lightning,2453278.5,274.0,1800,0.1,A,36.6805,-113.7161
424673,,2005,2453686.5,316,,5.0,Debris Burning,,,,0.25,A,34.26834855,-85.27673657
1053331,NC WILDLIFE COMMISSION,2003,2452897.5,258,,2.0,Equipment Use,,,,0.1,A,34.9667,-79.5
26337,ALEXANDER SPG WILDER,2007,2454341.5,241,1152,1.0,Lightning,2454389.5,289.0,1152,0.1,A,29.07694444,-81.49305556
937869,,1998,2451103.5,290,,7.0,Arson,,,,1.0,B,35.35,-85.7633
1583249,WF W OF HIGH ISLAND,2012,2456219.5,293,,13.0,Missing/Undefined,2456219.5,293.0,,50.0,C,29.56083333,-94.43194444
52636,,1992,2448724.5,103,1645,7.0,Arson,2448724.5,103.0,2100,40.0,C,34.73333333,-77.06666667
289539,SAGE,2000,2451626.5,83,0535,8.0,Children,2451626.5,83.0,0830,12.0,C,43.0269,-108.796
10658,MOORE'S,2006,2453824.5,89,1615,5.0,Debris Burning,2453824.5,89.0,1830,0.25,A,35.34166667,-82.63
1801044,LAKE,2015,2457255.5,233,0827,1.0,Lightning,2457256.5,234.0,0945,7.0,B,33.3186,-104.3525
735377,,1993,2449234.5,247,,13.0,Missing/Undefined,2449234.5,247.0,,0.1,A,33.575,-80.375
544343,,2002,2452418.5,144,,2.0,Equipment Use,,,,0.25,A,40.00417,-74.12611
1542923,ANTHONY FIRE,2010,2455345.5,149,,5.0,Debris Burning,,,,1.0,B,32.5138453,-98.0382823
453448,,2008,2454539.5,74,,5.0,Debris Burning,,,,0.21,A,34.47436807,-83.82148929
411020,,2005,2453431.5,61,,3.0,Smoking,,,,0.2,A,30.10610998,-83.59000001
1410655,,1992,2448683.5,62,2030,3.0,Smoking,2448683.5,62.0,2140,0.2,A,33.0583,-83.2144
78248,BEN SPRING,1995,2449865.5,148,1550,4.0,Campfire,2449865.5,148.0,1608,0.1,A,36.0,-106.71666667
727952,,1996,2450155.5,73,,13.0,Missing/Undefined,2450155.5,73.0,1131,4.0,B,33.49166667,-79.70833333
594880,,2006,2453782.5,47,,7.0,Arson,,,,6.0,B,35.76666997,-84.55334
1149167,,2007,2454151.5,51,1016,9.0,Miscellaneous,2454151.5,51.0,1115,1.5,B,32.917629,-86.607132
1096282,MC GRANE                 ,1996,2450228.5,146,,2.0,Equipment Use,,,,0.1,A,38.29194444,-122.52611111
1118493,MAJESTIC                 ,1992,2448771.5,150,,9.0,Miscellaneous,,,,0.1,A,40.38194444,-122.37694444
284375,HALL,2000,2451826.5,283,1600,9.0,Miscellaneous,2451826.5,283.0,1650,0.1,A,48.5666,-113.0009
1869129,,2008,2454546.5,81,,13.0,Missing/Undefined,,,,0.1,A,19.6483078,-155.989212
892648,,2000,2451574.5,31,,9.0,Miscellaneous,,,,1.0,B,30.9139,-92.6953
194382,HORN,1997,2450572.5,124,0059,8.0,Children,2450572.5,124.0,0145,0.5,B,48.475,-108.7549
1458475,CEMETARY ROAD,2011,2455616.5,55,1500,9.0,Miscellaneous,2455617.5,56.0,,8.0,B,31.09472222,-86.54805556
440149,,2006,2453825.5,90,,5.0,Debris Burning,,,,0.12,A,34.22843737,-85.15169098
765637,,2001,2452106.5,197,,9.0,Miscellaneous,,,,0.1,A,48.35736,-120.02179
1372981,,2007,2454204.5,104,1200,9.0,Miscellaneous,,,,0.2,A,41.6739862,-73.073164
1323664,CHESTNUT RIDGE,1994,2449446.5,94,1710,5.0,Debris Burning,2449446.5,94.0,1710,0.1,A,38.86202598,-81.91101408
469459,,2005,2453675.5,305,,13.0,Missing/Undefined,,,,10.0,C,36.87391998,-83.61327998
132218,BIG GUM,2000,2451629.5,86,1730,1.0,Lightning,2451629.5,86.0,1900,0.1,A,30.315,-82.475
1416169,,1993,2449312.5,325,1730,5.0,Debris Burning,2449312.5,325.0,1820,0.07,A,30.8131,-84.2742
1780688,6182,2014,2456906.5,249,1344,9.0,Miscellaneous,2456906.5,249.0,1642,5.0,B,32.4595,-94.78725
635778,,2006,2454077.5,342,,9.0,Miscellaneous,,,,50.0,C,35.86653998,-100.35880001
1361757,SOUTHSHORE,1993,2449201.5,214,,8.0,Children,2449201.5,214.0,,0.1,A,61.566665,-149.649993
475835,,2005,2453730.5,360,,1.0,Lightning,,,,20.0,C,30.47453366,-93.4551182
1262177,FY2003-TAYLOR-003,2002,2452507.5,233,0340,9.0,Miscellaneous,2452507.5,233.0,0340,0.05,A,32.56788838,-84.21784812
1186716,,2010,2455536.5,340,,5.0,Debris Burning,,,,0.4,B,33.083389,-79.496986
1604110,RUSK,2012,2456062.5,136,,2.0,Equipment Use,,,,5.0,B,43.3117,-103.3117
254839,303,2006,2453879.5,144,0500,7.0,Arson,2453879.5,144.0,0600,1.0,B,47.9797,-99.0333
1131645,RINCON                   ,1997,2450593.5,145,,9.0,Miscellaneous,,,,0.3,B,33.27805555,-116.95305555
1678448,MOUNT HEBROM,2013,2456406.5,114,1829,5.0,Debris Burning,2456406.5,114.0,1845,0.2,A,35.56783333,-82.191
777058,,1993,2449089.5,102,1615,13.0,Missing/Undefined,2449089.5,102.0,1910,9.0,B,35.77659986,-94.88760378
219510,R-B,1992,2448793.5,172,0804,1.0,Lightning,2448793.5,172.0,1454,0.1,A,40.6166,-108.6507
747769,,1992,2448643.5,22,,13.0,Missing/Undefined,2448643.5,22.0,,1.0,B,34.075,-82.00833333
1450085,,2000,2451667.5,124,,5.0,Debris Burning,,,,0.15,A,46.516047,-92.032802
683653,,1995,2449766.5,49,,13.0,Missing/Undefined,,,,50.0,C,37.09754,-104.98256
1154796,,2003,2452706.5,67,1650,7.0,Arson,2452706.5,67.0,1839,25.0,C,33.233019,-86.302253
1422548,,2009,2455025.5,194,1430,13.0,Missing/Undefined,,,,26.0,C,30.89142,-92.60248
1678530,COUCH,2013,2456312.5,20,1308,5.0,Debris Burning,2456312.5,20.0,1331,0.2,A,35.896,-81.60066667
1265897,,2007,2454349.5,249,0830,9.0,Miscellaneous,2454349.5,249.0,0830,2.0,B,37.2229,-84.08346
1770086,,2014,2456768.5,111,2006,7.0,Arson,2456785.5,128.0,2038,0.75,B,42.117,-75.8765
1870426,CAMERON,2015,2457250.5,228,1054,13.0,Missing/Undefined,2457250.5,228.0,1319,0.72,B,38.659387,-120.964726
301179,LUNCHHOUR,2001,2452089.5,180,1230,9.0,Miscellaneous,2452089.5,180.0,1300,0.2,A,33.3003,-110.4518
1152698,,2007,2454409.5,309,2340,6.0,Railroad,2454410.5,310.0,0155,1.0,B,34.03724,-86.753063
82713,ITSON,1995,2449796.5,79,1100,7.0,Arson,2449796.5,79.0,1600,0.2,A,37.38166667,-84.05666667
1728979,BAIN'S BRUSH FIRE,2014,2456893.5,236,0230,13.0,Missing/Undefined,2456893.5,236.0,0345,0.1,A,33.71481,-85.75992
1618697,OLD OAK,2012,2456014.5,88,1213,1.0,Lightning,2456014.5,88.0,1225,0.1,A,35.10246667,-80.71166667
61206,,1994,2449570.5,218,0710,1.0,Lightning,2449570.5,218.0,1500,0.1,A,45.72166667,-114.73833333
348445,GRASSY,2006,2453970.5,235,1530,1.0,Lightning,2453970.5,235.0,1815,0.1,A,40.63059,-112.65875
1556571,SOUTHWIND,2011,2455728.5,167,,5.0,Debris Burning,,,,15.0,C,29.233294,-98.7964137
183529,,1994,2449465.5,113,1900,8.0,Children,2449465.5,113.0,1930,1.0,B,48.0166,-94.8503
1552463,GRASS/WOODS FIRE,2011,2455639.5,78,,9.0,Miscellaneous,,,,1.0,B,31.683478,-95.091476
611757,,1998,2450909.5,96,,9.0,Miscellaneous,,,,15.0,C,32.19792,-94.52708
893999,,2000,2451592.5,49,,9.0,Miscellaneous,,,,27.0,C,30.4683,-93.2497
1446440,,1998,2450909.5,96,,9.0,Miscellaneous,,,,0.9,B,44.809349,-89.735129
371507,FALSE ZAPATA,2006,2453873.5,138,1415,5.0,Debris Burning,2453873.5,138.0,1430,5.0,B,27.00166667,-99.15805556
356462,OLD FORESTA,2006,2453920.5,185,1144,1.0,Lightning,2453920.5,185.0,1233,0.1,A,37.6978,-119.7458
1683114,9011,2013,2456339.5,47,1829,5.0,Debris Burning,2456339.5,47.0,2146,18.2,C,30.40235,-94.03015
1280235,KENNEDY RANCH,2009,2455027.5,196,1905,1.0,Lightning,2455027.5,196.0,1905,47.0,C,32.781222,-104.551389
1294361,,2008,2454667.5,202,2220,1.0,Lightning,2454667.5,202.0,2220,0.1,A,40.77827348,-73.913728
1361351,NIKISKI VFD #1,1995,2449837.5,120,,5.0,Debris Burning,2449837.5,120.0,,0.1,A,60.599998,-151.333328
790991,,1994,2449495.5,143,1540,2.0,Equipment Use,2449495.5,143.0,1630,0.4,B,46.40128836,-91.82268761
743438,,1993,2449148.5,161,,13.0,Missing/Undefined,2449148.5,161.0,,0.2,A,33.65833333,-81.975
528464,,2007,2454384.5,284,,13.0,Missing/Undefined,,,,0.1,A,35.9174,-76.21532
1849676,7 BAR RANCH,2015,2457310.5,288,,9.0,Miscellaneous,,,,0.5,B,33.5799115,-98.7687775
479955,,2008,2454664.5,199,,5.0,Debris Burning,,,,0.75,B,31.15302,-92.75256
1712183,,2006,2454094.5,359,,13.0,Missing/Undefined,,,,0.5,B,18.006096,-66.667595
702004,,1993,2449249.5,262,1937,7.0,Arson,2449249.5,262.0,2204,11.0,C,31.42051185,-90.47498103
1294893,,2008,2454562.5,97,1541,9.0,Miscellaneous,2454562.5,97.0,1541,0.1,A,43.14443142,-75.92630039
510429,,2003,2452800.5,161,,1.0,Lightning,,,,0.01,A,47.7003,-115.00900001
447148,,2007,2454439.5,339,,4.0,Campfire,,,,2.7,B,33.1227199,-83.24212273
1825913,BROCKTON,2015,2457162.5,140,1402,5.0,Debris Burning,2457162.5,140.0,,0.25,A,42.079024,-71.062882
740247,,1994,2449430.5,78,,13.0,Missing/Undefined,2449430.5,78.0,1051,3.0,B,34.89166667,-81.80416667
49054,MUDGE,1992,2448829.5,208,2330,9.0,Miscellaneous,2448830.5,209.0,1500,5.0,B,37.28,-119.605
436780,,2006,2453836.5,101,,7.0,Arson,,,,0.54,B,34.87756142,-84.10112499
253752,LD2614,2003,2452935.5,296,1805,7.0,Arson,2452935.5,296.0,1850,1.0,B,47.9492,-99.0823
1369964,,2010,2455485.5,289,1824,5.0,Debris Burning,,,,25.0,C,33.48196,-93.66654
967553,,1996,2450162.5,80,,6.0,Railroad,,,,0.1,A,27.45,-80.51
1441349,,2005,2453677.5,307,1500,7.0,Arson,2453677.5,307.0,1630,25.0,C,35.35,-85.5466667
353372,FORK,2007,2454340.5,240,1200,1.0,Lightning,2454347.5,247.0,2000,0.1,A,37.3535,-113.01855
947309,,1998,2451141.5,328,,9.0,Miscellaneous,,,,0.1,A,37.3667,-78.8333
469175,,2004,2453289.5,285,,13.0,Missing/Undefined,,,,1.0,B,36.78656999,-85.08533998
1821,BUCKHEAD,2005,2453606.5,236,0732,1.0,Lightning,2453606.5,236.0,1300,0.1,A,34.99333333,-111.76
864758,,2000,2451610.5,67,,7.0,Arson,,,,4.0,B,36.2908,-91.6619
1817933,786 LORI BES LANE,2015,2457024.5,2,1335,5.0,Debris Burning,2457024.5,2.0,1400,1.0,B,38.85948663,-78.93244624
701012,,1994,2449375.5,23,1330,5.0,Debris Burning,2449375.5,23.0,1410,1.0,B,31.5893184,-89.74527283
1465891,JENKS 2,2011,2455719.5,158,1242,7.0,Arson,2455719.5,158.0,1700,0.5,B,40.2531,-109.8708
1646701,FOURNIER,2013,2456479.5,187,0120,7.0,Arson,2456479.5,187.0,0320,0.5,B,47.9861,-98.9976
111612,NINE,1998,2451083.5,270,1628,4.0,Campfire,2451083.5,270.0,1828,0.1,A,34.29666667,-110.88666667
1477560,,2011,2455854.5,293,1210,5.0,Debris Burning,2455854.5,293.0,1540,0.1,A,42.9238739,-102.6868896
716996,4427,1994,2449579.5,227,1800,13.0,Missing/Undefined,2449590.5,238.0,1300,1.0,B,48.48379,-115.00375
1486057,FY2011-HENRY-017,2011,2455733.5,172,1620,8.0,Children,2455733.5,172.0,1924,25.7,C,33.47141139,-84.00572213
1394559,,1996,2450120.5,38,1205,5.0,Debris Burning,2450120.5,38.0,1302,1.08,B,31.4641,-83.0389
491017,,2006,2453833.5,98,,5.0,Debris Burning,,,,0.01,A,46.09164497,-93.57562106
939608,,1999,2451395.5,217,,2.0,Equipment Use,,,,1.0,B,35.0967,-84.3817
772312,ROBERTS MT RD. I-5 MP117,2006,2453964.5,229,,2.0,Equipment Use,2453964.5,229.0,,0.1,A,43.1075,-123.35367
1862078,,2006,2453832.5,97,,13.0,Missing/Undefined,,,,1.0,B,21.5784512,-158.2292175
1027068,VINEGAR LOOP MORNING,1998,2451123.5,310,,7.0,Arson,,,,5.0,B,34.175,-78.8183
88838,CUT BANK,1996,2450292.5,210,1340,1.0,Lightning,2450292.5,210.0,1530,0.1,A,42.25,-105.4
373200,493,2008,2454466.5,1,1545,5.0,Debris Burning,2454467.5,2.0,1200,10.0,C,26.41166667,-98.92027778
696482,,1992,2448661.5,40,1130,3.0,Smoking,2448661.5,40.0,1205,1.0,B,31.8363438,-90.45304162
1662847,UNKNOWN,2013,2456478.5,186,1549,2.0,Equipment Use,2456478.5,186.0,2105,8.0,B,39.9227,-104.8444
1721529,,2011,2455670.5,109,,13.0,Missing/Undefined,,,,0.5,B,18.062065,-66.647377
259420,DUNSEITH 4,2009,2454955.5,124,0015,7.0,Arson,2454955.5,124.0,0107,0.1,A,48.8492,-100.0322
1633379,GRASS FIRE,2012,2456166.5,240,,5.0,Debris Burning,,,,1.0,B,29.254279,-98.394928
1392429,,1993,2449156.5,169,1500,7.0,Arson,2449156.5,169.0,1645,1.34,B,34.7558,-85.0312
33876,SPOT,2008,2454760.5,295,1115,5.0,Debris Burning,2454760.5,295.0,1130,0.1,A,34.24944444,-117.32555556
476848,,2006,2453788.5,53,,7.0,Arson,,,,3.0,B,30.29293648,-89.94769269
1302243,,2007,2454211.5,111,1542,9.0,Miscellaneous,2454211.5,111.0,1542,0.75,B,43.07760223,-76.17398485
324468,CASTLE 2,2000,2451750.5,207,1430,1.0,Lightning,2451750.5,207.0,1927,0.1,A,39.2916,-108.2673
1126017,WILD                     ,2003,2452836.5,197,,2.0,Equipment Use,,,,0.1,A,34.09888888,-117.04305555
392397,,2003,2452867.5,228,,13.0,Missing/Undefined,,,,1.0,B,38.91006626,-107.82794608
1411030,,1994,2449375.5,23,1338,5.0,Debris Burning,2449375.5,23.0,1450,0.18,A,34.3442,-84.3853
1275758,,2009,2454936.5,105,,5.0,Debris Burning,2454936.5,105.0,,0.19,A,43.9079,-89.92267
987606,,2000,2451584.5,41,,6.0,Railroad,,,,2.0,B,30.83,-86.65
400064,,2003,2452997.5,358,,7.0,Arson,,,,3.0,B,29.455,-83.17804999
180437,SAM,1997,2450586.5,138,1400,8.0,Children,2450586.5,138.0,1440,0.1,A,43.0336,-102.5533
349174,MCBEE,2007,2454294.5,194,1030,1.0,Lightning,2454296.5,196.0,1800,2389.0,F,46.2369,-119.4819
1260871,FY2003-BALDWIN-008,2002,2452501.5,227,1505,1.0,Lightning,2452501.5,227.0,1505,2.47,B,33.05135512,-83.38078287
1251981,FY2002-BURKE-070,2002,2452324.5,50,1543,5.0,Debris Burning,2452324.5,50.0,1543,3.74,B,32.955,-81.9705
653311,,2008,2454788.5,323,,9.0,Miscellaneous,,,,1.0,B,28.8451,-98.70895
909637,,1998,2450935.5,122,,3.0,Smoking,,,,0.2,A,33.6833,-80.9167
1749309,FAU265851,2014,2456682.5,25,1358,5.0,Debris Burning,2456682.5,25.0,1446,25.0,C,34.97868,-92.24857
397668,,2007,2454283.5,183,,9.0,Miscellaneous,,,,3.0,B,29.13445001,-82.41084002
